run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit
1,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000005,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.30574065863447025,1,0.40502647451093143,0.97,115.60280965088921,Selective_Passage,0,0,0,0,0.3943786113719284,45.60280965088921,1,0.2286807192610923,47.07889233735225,0.10000000000000002,46.97889233735225,1.8347769152840456,0.25,0.2,0,1,0,0.02666666666666667,4,17,0,0,1,0,1,0,0.4557823129251701,0.47368421052631576,0.2022471961734618,1,3,0,0,16,32,-1,-1,19,16,-1,-1,2.5,1,1,0,0,0,0
2,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.16000000000000006,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3258216885963601,1,0,0.97,110.79139840838769,Selective_Passage,0,0,0,0,0.3717566666531655,40.7913984083877,0.9149913999281272,0.2020666666507829,42.38138243806165,10.09,32.291382438061646,-10.625019962907565,0.25,0.2,0,1,0,0.013333333333333334,2,8,0,0,0,1,1,1,0.4527027027027027,0.4507042253521127,0.11615656895162456,0,-1,0,0,7,23,-1,-1,-1,16,-1,-1,2.5,1,1,0,0,0,0
3,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,18,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.05,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.26692737205846123,0.6028761226422078,1,0.97,120.88301623092394,Accidental_War,0,1,0,1,0.5196606094380487,50.88301623092395,1,0.3760713052212338,59.49179363769138,0.20000000000000004,59.29179363769138,11.211703209023234,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,3,0,0.26666666666666666,0,0.02040785970636828,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1,1,0,1,0,1
4,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,12,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.27336702583989647,0.5496883211323074,0.8141098894666549,0.97,119.18551035875474,Ground_War,1,0,0,1,0.5628335270812068,49.18551035875474,0.946295572851626,0.42686297303671383,58.87452009129066,0,58.87452009129066,12.918679643381232,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,3,0,0.2,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1,1,0,0,0,0
5,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.18000000000000005,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3238908935423599,1,0.07868396926060467,0.97,110.0195824421439,Selective_Passage,0,0,0,0,0.39042324941354245,40.01958244214389,0.9172321047523726,0.22402735225122639,42.490260570150305,10.64,31.850260570150304,-10.211652339991986,0.25,0.2,0,1,0,0.02,3,71,0,0,0,1,1,1,0.46258503401360546,0.4793388429752066,0.2808584791500146,1,16,0,0,28,36,-1,-1,44,8,-1,-1,2.5,1,1,0,0,0,0
6,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.115,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31345801074800217,1,0.041069102622046966,0.97,114.70890409829053,Selective_Passage,0,0,0,0,0.40040255877404707,44.708904098290525,1,0.23576771620476125,49.55476354858391,0.10000000000000002,49.454763548583905,6.3278126003911765,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.46938775510204084,0.4824561403508772,0.022439843699256726,0,-1,0,0,35,29,-1,-1,-1,-6,-1,-1,2.5,1,1,0,0,0,0
7,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,2,25,0.92,0.08,0,0,0.08,0.3,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.28897097644574654,0.9773537162440432,0.6538074659234345,0.9199999999999999,113.93796637783973,Selective_Passage,0,0,0,0,0.3966595358844772,43.93796637783972,1,0.23136415986409084,47.91909669181439,0.4,47.51909669181439,4.774840418632891,0.25,0.2,0,1,0,0.07333333333333333,11,80,0,0,1,0,2,0,0.5337837837837838,0.5564516129032258,0.18395414397011137,1,0,0,0,25,27,-1,-1,25,2,-1,-1,2.5,1,1,0,0,0,0
8,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,Backchannel_Bargaining,1,0,0,1,87,0.6866666666666666,0.31333333333333335,0,0,0.31333333333333335,0.335,Military_Pause | Prolonged_Economic_War | Selective_Passage | Backchannel_Bargaining,0.361414133092002,1,0,0.98,102.53211663232987,Selective_Passage,0,0,0,0,0.35666841766670554,32.532116632329874,0.6299500763345861,0.18431578549024183,37.308044213794865,11.89,25.418044213794865,-8.892590523168764,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.5,0.5342465753424658,0.32977540583563936,1,0,0,0,76,26,-1,-1,76,-50,-1,-1,2.5,1,1,0,0,0,0
9,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,11,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.24280576433295895,0.23721992985930918,1,0.97,122.24647472856532,Ground_War,1,0,0,1,0.592190708986399,52.246474728565325,1,0.4614008341016459,60.658273184674904,1.2000000000000002,59.4582731846749,9.615731274812767,0.25,0.2,0,0,0,0.09090909090909091,1,-1,0,0,0,1,4,3,0.2222222222222222,0.2,0.025471020075730252,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.5,1,1,0,1,0,1
10,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.1,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3451122854829486,1,0,0.98,109.45842473504322,Selective_Passage,0,0,0,0,0.3891953089901711,39.458424735043224,0.7705343801370238,0.22258271645902483,39.75003849004662,10.09,29.66003849004662,-12.247982806245755,0.25,0.2,0,0,0,0.006666666666666667,1,-1,0,0,0,1,1,1,0.49324324324324326,0.5038759689922481,0.21798729314068818,1,24,0,0,20,27,-1,-1,44,7,-1,-1,2.5,1,1,0,0,0,0
11,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.065,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31691591657941803,1,0.09324838448612352,0.98,110.44341720863036,Selective_Passage,0,0,0,0,0.37842279720442074,40.443417208630365,0.9770742854225217,0.2099091731816715,46.32525264290372,10.1,36.22525264290372,-5.272705707158309,0.25,0.2,0,0,0,0.006666666666666667,1,-1,0,0,0,1,1,1,0.49324324324324326,0.48936170212765956,0.13222411194186495,1,73,0,0,8,26,-1,-1,81,18,-1,-1,2.5,1,1,0,0,0,0
