run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-severe-escalation,outcome-managed-stalemate,ever-managed-stalemate,ms-share,ms-duration,first-managed-stalemate-tick,military-deescalation-window-flag,awrp-current,risk-premium,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit
1,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Limited_Exchange,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.14500000000000005,Limited_Exchange | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31084932511576896,1,0.16409709886016977,0.97,110.95693596117721,Selective_Passage,0,0,0,0.013333333333333334,2,-1,0,0.3766371989976901,40.956935961177216,2.5,1,1,0,0,0,0
2,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000004,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3068147462714369,1,0.354371520871682,0.97,111.21573179701068,Selective_Passage,0,0,1,0.02,3,61,0,0.3730926127647964,41.21573179701067,2.5,1,1,0,0,0,0
3,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000005,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32698983149704053,1,0,0.97,109.46243226562332,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.38183932680939414,39.46243226562332,2.5,1,1,0,0,0,0
4,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11500000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32633856036940956,1,0,0.97,109.69821420056776,Selective_Passage,0,0,0,0,0,-1,0,0.37980079438324277,39.69821420056776,2.5,1,1,0,0,0,0
5,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,69,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11500000000000005,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2861291714194617,0.8777827737905348,0.9496907471209364,0.97,116.23698100530353,Ground_War,1,0,0,0.014492753623188406,1,-1,0,0.4016475265430816,46.236981005303534,2.5,1,1,0,0,0,0
6,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,Backchannel_Bargaining,1,0,0,0,149,0.9933333333333333,0.006666666666666667,0,0,0.006666666666666667,0.20000000000000012,Military_Pause | Prolonged_Economic_War | Selective_Passage | Backchannel_Bargaining,0.2956040655106669,1,0.9768727580635782,0.97,111.06779611611451,Selective_Passage,0,0,0,0.03333333333333333,5,-1,0,0.3780109252697216,41.06779611611451,2.5,1,1,0,0,0,0
7,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,0,105,0.9866666666666667,0.013333333333333334,0,0,0.013333333333333334,0.255,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.2935533255989915,0.9783280591789513,0.9969713540052815,0.97,111.9158743985293,Selective_Passage,0,0,1,0.02666666666666667,4,104,0,0.3837898546095335,41.9158743985293,2.5,1,1,0,1,0,0
8,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,10,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.25894390875704876,0.3857758927742655,0.9422231566925364,0.98,122.65746806490574,Accidental_War,1,0,0,0,0,-1,0,0.6079614754252495,52.657468064905736,2.5,1,1,0,0,0,1
9,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.09,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.28553438437046447,0.9789579389146775,0.8208712008988395,0.9199999999999999,114.3432014821928,Selective_Passage,0,0,0,0.013333333333333334,2,-1,0,0.4010547464960573,44.343201482192804,2.5,1,1,0,0,0,0
10,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.03,0.4,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12500000000000003,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3182055759208278,1,0.17056711425787766,0.98,111.61522703470395,Selective_Passage,0,0,0,0.006666666666666667,1,-1,0,0.39391386969053804,41.61522703470395,2.5,1,1,0,0,0,0
11,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.2929500566534281,0.9543409514654362,0.583210112848698,0.9399999999999998,114.36644608290169,Selective_Passage,0,0,1,0.02666666666666667,4,76,0,0.3857506550117452,44.36644608290168,2.5,1,1,0,0,0,0
