run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit,outcome-tau-c-leads-frac-deescalation
1,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.25,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.13000000000000006,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.2949478246209263,1,1,0.97,111.39308481631105,Selective_Passage,0,0,0,0,0.3680529696884022,41.393084816311045,0.9997652875256526,0.19770937610400258,44.72928093123919,10.19,34.53928093123919,-8.567254856339815,0.25,0.2,0,1,0,0.03333333333333333,5,17,0,0,0,1,2,1,0.4864864864864865,0.49624060150375937,0.22922993964788008,1,26,0,0,16,42,-1,-1,42,26,-1,-1,4,1,1,0,1,0,0,0
2,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,0,31,0.9866666666666667,0.013333333333333334,0,0,0.013333333333333334,0.22500000000000003,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29312484,1,1,0.97,116.0515373881056,Selective_Passage,0,0,0,0,0.39448146145416774,46.051537388105594,1,0.2288017193578444,47.60875672,0,47.60875672,2.076292442525876,0.25,0.2,0,0,0,0.006666666666666667,1,-1,0,0,1,0,2,0,0.46621621621621623,0.4661016949152542,0.14589433329251708,1,-4,0,0,31,27,-1,-1,27,-4,-1,-1,2.5,1,1,0,1,0,0,1
3,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.6,1,0,0.6,0.6,0.6,0.72,100,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.16500000000000006,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.301099243691404,1,0.05795492872080907,0.9099999999999999,111.74903856786015,Ground_War,1,0,0,1,0.38816478505378593,41.749038567860154,1,0.22137033535739525,52.87383176496103,2.0500000000000007,50.82383176496103,12.09972426280116,0.25,0.2,0,0,0,0.02,2,-1,0,0,0,1,1,2,0.47959183673469385,0.48936170212765956,0.01586365360420092,0,-1,0,0,5,15,-1,-1,-1,10,-1,-1,1.6666666666666667,1,1,0,0,0,0,0
4,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.8,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.135,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31432884,1,0,0.97,113.4971523888529,Selective_Passage,0,0,0,0,0.41441450360167736,43.49715238885289,1,0.25225235717844396,52.31818872,0.45000000000000007,51.86818872,11.16138177486281,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.4864864864864865,0.5054945054945055,0.17168289551704485,1,-35,0,0,58,17,-1,-1,23,-41,-1,-1,1.25,1,1,0,0,0,0,1
5,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.13500000000000006,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.327734825970022,1,0,0.97,110.4599621057466,Selective_Passage,0,0,0,0,0.37993132853977807,40.459962105746605,0.8801410309525248,0.2116839159291507,47.46888609307039,0.9,46.56888609307039,8.145231983098377,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.49324324324324326,0.5348837209302325,0.13059356316638238,1,-11,0,0,63,15,-1,-1,52,-48,-1,-1,1,1,1,0,0,0,0,1
6,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1.4,1,0,0.6,0.6,0.6,0.72,32,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.060000000000000005,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.31432884,1,0,0.97,113.87371876742274,Ground_War,1,0,0,1,0.41969615486144163,43.873718767422744,1,0.25846606454287246,52.31818872,0.9000000000000001,51.41818872,10.059293270103012,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,2,0.41379310344827586,0,0,0,-1,0,0,-1,10,-1,-1,-1,-1,-1,-1,0.7142857142857143,1,1,0,0,0,0,0
7,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.25,1,0,0.6,0.6,0.6,0.72,115,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.27737137727686195,0.9127931311675646,1,0.9199999999999999,115.81189244069171,Ground_War,1,0,0,1,0.39154420064292916,45.81189244069171,1,0.2253461184034461,54.39364336736641,0.8,53.59364336736641,10.37566790223294,0.25,0.2,0,0,0,0.017391304347826087,2,-1,0,0,0,1,2,2,0.4690265486725664,0.4861111111111111,0.05577469120081925,0,-1,0,0,42,40,-1,-1,-1,-2,-1,-1,4,1,1,0,1,0,0,1
8,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,55,0.6466666666666666,0.35333333333333333,0,0,0.35333333333333333,0.45,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.29740966739725,0.9805277014011416,0.17137823093664073,0.9099999999999999,110.86632306257914,Selective_Passage,0,0,0,0,0.37464345552996103,40.86632306257915,1,0.20546288885877767,50.345627760908656,1.3000000000000007,49.04562776090866,10.90573959777268,0.25,0.2,0,1,0,0.04,6,62,0,0,1,0,1,0,0.46621621621621623,0.46308724832214765,0.245765158994598,1,39,0,0,0,37,-1,-1,39,37,-1,-1,2.5,1,1,0,0,0,0,0
9,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.6,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.17500000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32442390524475834,1,0,0.98,109.87642731770134,Selective_Passage,0,0,0,0,0.3686322101065157,39.87642731770134,0.9579351918113929,0.19839083541943023,42.93101415752226,10.09,32.84101415752227,-8.794266450223844,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.5,0.5,0.16063345927173875,1,-12,0,0,47,21,-1,-1,35,-26,-1,-1,1.6666666666666667,1,1,0,0,0,0,1
10,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.8,1,0,0.6,0.6,0.6,0.72,126,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.07,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.32278189811414526,1,0.05631416214987413,0.9199999999999999,110.16126898178072,Accidental_War,0,1,0,1,0.40948528803055195,40.161268981780715,0.8243353157108649,0.24645328003594347,49.78491819402063,0.8,48.98491819402063,11.764865616319888,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,2,0.41935483870967744,0.38461538461538464,0.2233376676801523,1,-65,0,0,99,23,-1,-1,34,-76,-1,-1,1.25,1,1,0,0,0,0,1
11,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,Backchannel_Bargaining,1,0,0,0,120,0.8333333333333334,0.16666666666666666,0,0,0.16666666666666666,0.2800000000000003,Military_Pause | Prolonged_Economic_War | Selective_Passage | Backchannel_Bargaining,0.34013614085111965,1,0,0.97,103.65417334773407,Selective_Passage,0,0,0,0,0.36161904291025215,33.65417334773407,0.7877897247760525,0.1901400504826496,40.202874671476025,13.040000000000004,27.16287467147602,-8.114123345322568,0.25,0.2,0,0,0,0,0,-1,1,1,0,1,1,3,0.4391891891891892,0.5714285714285714,0.3075908156784788,1,-82,0,0,142,19,-1,-1,60,-123,-1,-1,1,1,1,0,0,0,0,1
