run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit,selective-passage-share,partial-closure-share,contested-reopening-share,ever-selective-passage
1,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,0.5,0,0.6,0.6,0.6,0.72,14,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.25554345423543584,0.4915117963095612,1,0.9199999999999999,121.0037112657333,Ground_War,1,0,0,1,0.5601706575233993,51.0037112657333,0.9466851078563167,0.4237301853216463,57.17699948167265,1.2000000000000002,55.97699948167265,6.631050954585795,0.25,0.1,0,0,0,0.07142857142857142,1,-1,0,0,0,1,3,3,0.25,0.23076923076923078,0.028064635010631597,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,2.5,2,1,0,1,0,1,0.5714285714285714,0.42857142857142855,0,1
2,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,0.5,0,0.6,0.6,0.6,0.72,11,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.27549384226963275,0.8390164370627674,0.5790547958179507,0.8903199999999998,118.894538520824,Accidental_War,0,1,0,1,0.5321839897546096,48.89453852082399,1,0.39080469382895244,54.91516000229882,0,54.91516000229882,8.0274953086331,0.25,0.1,0,0,0,0,0,-1,0,0,1,0,2,0,0.2222222222222222,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,0,0,0,0,0.7272727272727273,0.2727272727272727,0,1
3,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.13000000000000003,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3190864509451146,1,0,0.98,114.2598443897096,Selective_Passage,0,0,0,0,0.39288450118719526,44.2598443897096,0.975346086249959,0.2269229425731709,49.012660529804684,0.4000000000000005,48.612660529804685,5.803754853460113,0.25,0.2,0,0,0,0.02,3,-1,0,0,1,0,1,0,0.49324324324324326,0.5,0.06838826469620694,0,-1,0,0,23,23,-1,-1,-1,0,-1,-1,2.5,1,1,0,0,0,0,0.9866666666666667,0.013333333333333334,0,1
4,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.10000000000000003,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31946122358249596,1,0,0.97,109.85842088544953,Selective_Passage,0,0,0,0,0.38126411208847955,39.858420885449526,0.9715120260834645,0.21325189657468185,43.34937773297013,10.69,32.659377732970135,-8.998803940599238,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.4864864864864865,0.625,0.15609366640548564,1,2,0,0,141,13,-1,-1,143,-128,-1,-1,1,1,1,0,0,0,0,0.9933333333333333,0.006666666666666667,0,1
5,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1.5,0,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.23566233125232788,0.25021178832658114,1,0.9299999999999999,122.49258663176529,Accidental_War,0,1,0,1,0.6140251206194935,52.49258663176529,1,0.4870883771994042,60.12091135744275,0,60.12091135744275,10.171099634236612,0.25,0.30000000000000004,0,0,0,0,0,-1,0,0,1,0,4,0,0.14285714285714285,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,0.6666666666666666,1,0,1,0,1,0.2222222222222222,0.7777777777777778,0,1
6,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1.5,0,0.6,0.6,0.6,0.72,28,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.060000000000000005,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.31968659016116746,1,0,0.97,112.27983250628135,Accidental_War,0,1,0,1,0.427659987573364,42.27983250628135,0.9520979350442794,0.2678352794980753,51.499177607780034,0.4000000000000001,51.099177607780035,11.75912680199825,0.25,0.30000000000000004,0,0,0,0,0,-1,0,0,0,1,1,2,0.34615384615384615,0,0.14783671477837004,1,-1,0,0,-1,14,-1,-1,14,-1,-1,-1,1,0.6666666666666666,1,0,0,0,0,0.8214285714285714,0.17857142857142858,0,1
7,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,0.5,0,0.6,0.6,0.6,0.72,10,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2598025050353364,0.3184463471135355,1,0.97,119.60497866721994,Ground_War,1,0,0,1,0.5805346037457065,49.60497866721994,0.8959445282083662,0.44768776911259595,57.4073288556184,0.10000000000000002,57.3073288556184,10.26980025119795,0.25,0.1,0,0,0,0,0,-1,0,0,1,0,4,0,0.2857142857142857,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,2,1,0,1,0,0,0.7,0.3,0,1
8,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,0.5,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000001,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31432884,1,0,0.97,113.58112910653998,Selective_Passage,0,0,0,0,0.3651307748830993,43.58112910653997,1,0.19427149986246975,46.71818872,0.8,45.91818872,3.1160794846133797,0.25,0.1,0,0,0,0,0,-1,0,0,1,0,1,0,0.5067567567567568,0.5211267605633803,0.08842944370020518,0,-1,0,0,78,13,-1,-1,-1,-65,-1,-1,1,2,1,0,0,0,0,0.9866666666666667,0.013333333333333334,0,1
9,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.2778414869077144,0.9502390084239997,1,0.9099999999999999,112.60180253116499,Selective_Passage,0,0,0,0,0.3729409786250573,42.601802531164985,1,0.2034599748530086,48.549223499331994,0.8,47.749223499332,6.863227957556013,0.25,0.2,0,0,0,0.013333333333333334,2,-1,0,0,1,0,2,0,0.5,0.4927536231884058,0.23527926937342175,1,-43,0,0,80,34,-1,-1,37,-46,-1,-1,2.5,1,1,0,1,0,0,0.9933333333333333,0.006666666666666667,0,1
10,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.19000000000000006,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31432884,1,0,0.97,113.84684934943726,Selective_Passage,0,0,0,0,0.4035774806406226,43.846849349437264,1,0.23950291840073248,46.71818872,0.7000000000000015,46.01818872,2.895119160750312,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.49324324324324326,0.4956521739130435,0.18580293664973552,1,-16,0,0,34,15,-1,-1,18,-19,-1,-1,1,1,1,0,0,0,0,0.9666666666666667,0.03333333333333333,0,1
11,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,0.4,1.5,0,0.6,0.6,0.6,0.72,82,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3117998469775686,1,0.19924343698940494,0.97,112.29679219609805,Accidental_War,0,1,0,1,0.3962104116092224,42.29679219609805,0.9848386666235257,0.23083577836379102,52.23640589307384,0.9,51.33640589307384,12.052818262634382,0.25,0.30000000000000004,0,0,0,0,0,-1,0,0,0,1,1,2,0.4375,0.41025641025641024,0.1873820285403579,1,-15,0,0,42,28,-1,-1,27,-14,-1,-1,2.5,0.6666666666666666,1,0,0,0,0,0.9146341463414634,0.08536585365853659,0,1
