run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit,awrp-peak-value,risk-premium-peak-value,outcome-tau-c-leads-frac-deescalation
1,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.12000000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32614321938609686,1,0,0.97,110.39753876934259,Selective_Passage,0,0,0,0,0.38156663557949955,40.39753876934259,0.912134199782458,0.21360780656411707,42.33244886308641,10.19,32.142448863086415,-9.827487983638306,0.25,0.16000000000000003,0,1,0,0.013333333333333334,2,34,0,0,0,1,1,1,0.49324324324324326,0.5,0.16024713234197618,1,101,0,0,33,25,-1,-1,134,-8,-1,-1,2.5,1.25,1,0,0,0,0,0.6520400723600832,48.10646122829777,1
2,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,1,0.8,0,0.6,0.6,0.6,0.72,14,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.3040015846209874,1,0.4870427928227027,0.97,118.91205788820744,Ground_War,1,0,0,1,0.4819917946992494,48.91205788820744,1,0.3317550525873523,52.75193344591853,0.10000000000000002,52.65193344591853,4.9865007436147835,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,2,0,0.16666666666666666,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1.25,1,0,0,0,0,0.6586291447201189,48.91205788820744,0
3,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0.25,0.6,0.6,0.6,0.72,10,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.29727803995254465,0.60932898118587,0.6612530005136213,0.97,118.75564003967513,Accidental_War,0,1,0,1,0.5782261648786791,48.75564003967513,0.7966687437900901,0.4449719586807988,52.85704085787503,0,52.85704085787503,5.468534424266537,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,3,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1.25,1,0,0,0,0,0.6459503628024783,48.75564003967513,0
4,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,1,0.8,0.25,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.13,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.30343660724767646,1,0.04205021469173478,0.9199999999999999,113.11167123703906,Selective_Passage,0,0,0,0,0.37882281087536024,43.11167123703906,1,0.2103797775004238,49.97566249559759,1.4000000000000004,48.57566249559759,7.285321678078041,0.25,0.16000000000000003,0,0,0,0.006666666666666667,1,-1,0,0,1,0,1,0,0.527027027027027,0.5234899328859061,0.23236430084230075,1,23,0,0,0,20,-1,-1,23,20,-1,-1,1,1.25,1,0,0,0,0,0.6426607307959034,56.16162886163846,0
5,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0.5,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.13500000000000004,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.33852362081653953,1,0,0.97,109.28527135147681,Selective_Passage,0,0,0,0,0.37624846894265573,39.28527135147681,0.8021189667172995,0.20735113993253612,40.44828311299985,10.29,30.158283112999854,-10.865462188663045,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,0,1,1,1,0.47297297297297297,0.5,0.14870591480585024,1,-12,0,0,65,27,-1,-1,53,-38,-1,-1,2.5,1.25,1,0,0,0,0,0.6468929747744425,46.14770857067243,1
6,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,1,0.8,0.5,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,Backchannel_Bargaining,1,0,0,1,128,0.86,0.14,0,0,0.14,0.3499999999999999,Military_Pause | Prolonged_Economic_War | Selective_Passage | Backchannel_Bargaining,0.31783987931999225,1,0,0.97,107.14701018160935,Selective_Passage,0,0,0,0,0.34112072847974734,37.14701018160935,0.9859196822423028,0.16602438644676157,43.59612912836488,12.389999999999999,31.20612912836488,-7.072477444338659,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,0,1,1,2,0.527027027027027,0.5508474576271186,0.22459791982470745,1,45,0,0,31,13,-1,-1,76,-18,-1,-1,1,1.25,1,0,0,0,0,0.6229236695776568,47.906771378807306,1
7,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0.75,0.6,0.6,0.6,0.72,14,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2579770589026216,0.380472326291997,0.9673070314545685,0.98,122.72532240676229,Ground_War,1,0,0,1,0.521176489239805,52.72532240676229,0.9729286283460249,0.3778546932232999,58.06644455982862,0.8,57.26644455982862,6.054829537421774,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,0,1,4,3,0.25,0,0.035076029851266254,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1.25,1,0,0,0,1,0.6441768467904001,54.641944897104366,0
8,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,1,0.8,0.75,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3302077059236746,1,0,0.98,110.53492842502912,Selective_Passage,0,0,0,0,0.3586416565248087,40.53492842502912,0.9249144987016916,0.18663724297036316,42.21819440050185,10.99,31.22819440050185,-11.079445267294375,0.25,0.16000000000000003,0,0,0,0,0,-1,1,1,0,1,1,3,0.4897959183673469,0.5303030303030303,0.11324817067248175,0,-1,0,0,83,13,-1,-1,-1,-70,-1,-1,1,1.25,1,0,0,0,0,0.6106844159400001,45.711694167881674,1
9,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0,0.6,0.6,0.6,0.72,24,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.04,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.2628945902083813,0.5066814359456298,0.9852448008903988,0.98,122.2354280860506,Accidental_War,0,1,0,1,0.4827806734617933,52.235428086050604,1,0.3326831452491686,57.43833859557421,0.10000000000000002,57.33833859557421,6.803880679364809,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,4,0,0.42857142857142855,0,0.10096152488170877,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1.25,1,0,0,0,1,0.644838289101627,58.10143784911732,0
10,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,1,0.8,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11500000000000002,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3171685906609395,1,0,0.97,110.42144315214344,Selective_Passage,0,0,0,0,0.3812147291611957,40.421443152143446,0.9918849151707025,0.2131937990131714,43.69829214035725,10.84,32.85829214035725,-9.003751204507374,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,0,1,1,1,0.49324324324324326,0.5194805194805194,0.12182485710892388,0,-1,0,0,72,16,-1,-1,-1,-56,-1,-1,1,1.25,1,0,0,0,0,0.6420697060951188,46.02890833264805,1
11,0.08,0.05,0.6,0.3,50,0.4,6,4,150,1,0.06,0.4,0.8,0.25,0.6,0.6,0.6,0.72,9,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.10520793074928594,0.13348596904907276,1,0.3400000000000001,125.32409006649911,Ground_War,1,0,0,1,0.6350062129845286,55.32409006649912,1,0.511772015275916,63.68542552351571,0,63.68542552351571,11.148447276022125,0.25,0.16000000000000003,0,0,0,0,0,-1,0,0,1,0,4,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,2.5,1.25,1,0,1,0,1,0.6441768467904001,55.32409006649912,0
