run,decision-noise,observation-error-rate,initial-israel-friction,initial-israel-security-perception,initial-iran-assets,initial-iran-regime-stability,initial-mine-count,mine-batch-size,max-ticks,tau-d-rate,diplomacy-bridge-prob,tau-c-rate,tau-k-rate,selective-targeting-recognition,initial-insurer-memory,initial-operator-memory,initial-market-memory,initial-israel-incomplete-victory-aversion,[step],military-layer,economic-war-layer,access-layer,diplomacy-layer,ever-backchannel,ever-ceasefire-talks,ever-fragile-arrangement,diplomacy-bridge-count,first-backchannel-tick-report,no-talks-share,backchannel-share,ceasefire-talks-share,fragile-arrangement-share,diplomatic-activation-share,max-diplomatic-momentum-report,strategic-regime,throughput,insurance,operator-caution,permission-factor,brent-crude-price,crisis-state,outcome-ground-war,outcome-accidental-war,outcome-escalation-cascade,outcome-severe-escalation,awrp-current,risk-premium,market-memory,disruption-belief,risk-premium-gross-signal,risk-premium-reassurance-signal,risk-premium-target,risk-premium-gap,market-shock-build-up-rate,market-recovery-rate-current,outcome-managed-stalemate,ever-managed-stalemate,ms-condition-this-tick,ms-share,ms-duration,first-managed-stalemate-tick,military-pause-window-flag,military-deescalation-window-flag,major-action-this-tick-flag,low-intensity-military-flag,commercial-non-normalization-score,ticks-since-major-strike-flag,risk-premium-decay-share,risk-premium-post-deescalation-decay-share,risk-premium-normalized-recovery,price-recovery-20pct-fired,price-recovery-lag-20pct-deescalation,price-recovery-fired,price-recovery-strict-fired,tick-military-deescalation-window-start,tick-awrp-recovery-frac,tick-price-recovery-frac,tick-price-recovery-frac-strict,tick-price-recovery-20pct,awrp-recovery-lag-frac-deescalation,price-recovery-lag-frac-deescalation,price-recovery-lag-frac-strict,tau-c-over-tau-m,tau-k-over-tau-m,tau-d-over-tau-m,insurance-floor-hit,operator-caution-ceiling-hit,awrp-ceiling-hit,risk-premium-high-hit
1,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.16500000000000006,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.35431417928540165,1,0,0.97,106.26684429024526,Selective_Passage,0,0,0,0,0.3663516619975571,36.26684429024526,0.6425028674146912,0.1957078376441848,40.6058400259553,0.9,39.705840025955304,4.585327647613397,0.25,0.2,0,0,0,0.006666666666666667,1,-1,0,0,1,0,1,0,0.48299319727891155,0.47651006711409394,0.2769970294912537,1,27,0,0,0,15,-1,-1,27,15,-1,-1,1,1,1,0,0,0,0
2,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,29,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.060000000000000005,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.31432884,1,0,0.97,114.41366171149863,Ground_War,1,0,0,1,0.40898687141917056,44.41366171149863,1,0.24586690755196533,52.31818872,0.10000000000000002,52.21818872,10.406036011335168,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.3076923076923077,0,0.09209308223886284,0,-1,0,0,-1,15,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0
3,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.09,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31432884,1,0,0.97,112.37791720792424,Selective_Passage,0,0,0,0,0.3900022831891958,42.37791720792424,1,0.2235320978696421,49.51818872,1,48.51818872,8.187028682767675,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.42567567567567566,0.5,0.10060525988776141,0,-1,0,0,137,11,-1,-1,-1,-126,-1,-1,1,1,1,0,0,0,0
4,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.15000000000000002,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31432884,1,0,0.97,112.15862059264305,Selective_Passage,0,0,0,0,0.3849769125514342,42.15862059264305,1,0.2176198971193343,49.51818872,0.9,48.61818872,8.612757503142603,0.25,0.2,0,0,0,0.006666666666666667,1,-1,0,0,1,0,1,0,0.4864864864864865,0.48322147651006714,0.08007317650348474,1,83,0,0,0,14,-1,-1,83,14,-1,-1,1,1,1,0,0,0,0
5,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,24,0.8333333333333334,0.16666666666666666,0,0,0.16666666666666666,0.31,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3235359315328217,1,0,0.98,115.28623318384544,Selective_Passage,0,0,0,0,0.4380483073509115,45.28623318384543,0.9355645918315781,0.28005683217754296,51.13249181433306,0.20000000000000004,50.932491814333055,7.528344840650163,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,2,0,0.4594594594594595,0.464,0,0,-1,0,0,24,14,-1,-1,-1,-10,-1,-1,1,1,1,0,0,0,0
6,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,1,102,0.7333333333333333,0.26666666666666666,0,0,0.26666666666666666,0.36499999999999994,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.33648225646357305,1,0,0.98,105.44949594342484,Selective_Passage,0,0,0,0,0.3802476815407224,35.44949594342484,0.8705646835668431,0.2120560959302617,41.27609629675879,11.889999999999999,29.386096296758787,-7.57924955833257,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,2,0.4864864864864865,0.5531914893617021,0.2204813352668973,1,-17,0,0,102,10,-1,-1,85,-92,-1,-1,1,1,1,0,0,0,0
7,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.11000000000000001,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.323363302865015,1,0,0.97,110.52302519038034,Selective_Passage,0,0,0,0,0.3701884091755586,40.52302519038034,0.9368372084600661,0.20022165785359833,42.75552266457419,10.19,32.56552266457419,-9.946878157257686,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.46938775510204084,0.4666666666666667,0.10986351356293685,0,-1,0,0,134,13,-1,-1,-1,-121,-1,-1,1,1,1,0,0,0,0
8,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,1,0,0,2,47,0.8866666666666667,0.11333333333333333,0,0,0.11333333333333333,0.3,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.3016414784620205,1,0.0323826418590588,0.9099999999999999,111.69438814070546,Selective_Passage,0,0,0,0,0.38038240930970113,41.69438814070545,1,0.21221459918788363,50.05105790459514,0.9,49.15105790459514,9.942226351852923,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.4797297297297297,0.4803921568627451,0.16632891865254398,1,-25,0,0,47,13,-1,-1,22,-34,-1,-1,1,1,1,0,0,0,0
9,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,12,Ground_War,War_Driven_Oil_Shock,Partial_Closure,No_Talks,0,0,0,0,-1,1,0,0,0,0,0,Ground_War | War_Driven_Oil_Shock | Partial_Closure | No_Talks,0.32795648672430316,1,0,0.97,117.23169931020644,Ground_War,1,0,0,1,0.5508428841469744,47.231699310206444,0.8781592274845936,0.412756334290558,50.235001978388226,0,50.235001978388226,4.004403557575706,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,2,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,0
10,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Military_Pause,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.10000000000000003,Military_Pause | Prolonged_Economic_War | Selective_Passage | No_Talks,0.32635093520007025,1,0,0.98,110.79149751101374,Selective_Passage,0,0,0,0,0.36810732991671574,40.79149751101374,0.9582326972721884,0.19777332931378322,42.796462455772186,10.09,32.70646245577218,-10.106293819051942,0.25,0.2,0,0,0,0,0,-1,0,0,0,1,1,1,0.4797297297297297,0.49514563106796117,0.15692809983238307,1,0,0,0,46,11,-1,-1,46,-35,-1,-1,1,1,1,0,0,0,0
11,0.08,0.05,0.45,0.4,40,0.33,8,6,150,1,0.06,1,1,0,0.6,0.6,0.6,0.72,150,Active_Military_War,Prolonged_Economic_War,Selective_Passage,No_Talks,0,0,0,0,-1,1,0,0,0,0,0.17000000000000004,Active_Military_War | Prolonged_Economic_War | Selective_Passage | No_Talks,0.31694210373064535,1,0,0.98,113.73131954672854,Selective_Passage,0,0,0,0,0.40341939861123133,43.73131954672855,0.9945180626328114,0.23931693954262506,49.340455619959755,0.4500000000000005,48.89045561995975,6.878848097641601,0.25,0.2,0,0,0,0,0,-1,0,0,1,0,1,0,0.4527027027027027,0,0.07488489682582507,0,-1,0,0,146,12,-1,-1,-1,-134,-1,-1,1,1,1,0,0,0,0
